ENSG00000000003	TSPAN6	protein_coding	chrX	100627109	100639991	True	Homo sapiens
ENSG00000000005	TNMD	protein_coding	chrX	100584802	100599885	True	Homo sapiens
ENSG00000000419	DPM1	protein_coding	chr20	50934867	50958555	True	Homo sapiens
ENSG00000000457	SCYL3	protein_coding	chr1	169849631	169894267	True	Homo sapiens
ENSG00000000460	C1orf112	protein_coding	chr1	169662007	169854080	True	Homo sapiens
ENSG00000000938	FGR	protein_coding	chr1	27612064	27635277	True	Homo sapiens
ENSG00000000971	CFH	protein_coding	chr1	196651878	196747504	True	Homo sapiens
ENSG00000001036	FUCA2	protein_coding	chr6	143494811	143511690	True	Homo sapiens
ENSG00000001084	GCLC	protein_coding	chr6	53497341	53616970	True	Homo sapiens
ENSG00000001167	NFYA	protein_coding	chr6	41072945	41099976	True	Homo sapiens
ENSG00000001460	STPG1	protein_coding	chr1	24356999	24416934	True	Homo sapiens
ENSG00000001461	NIPAL3	protein_coding	chr1	24415794	24472976	True	Homo sapiens
ENSG00000001497	LAS1L	protein_coding	chrX	65512582	65534775	True	Homo sapiens
ENSG00000001561	ENPP4	protein_coding	chr6	46129993	46146699	True	Homo sapiens
ENSG00000001617	SEMA3F	protein_coding	chr3	50155045	50189075	True	Homo sapiens
ENSG00000001626	CFTR	protein_coding	chr7	117465784	117715971	True	Homo sapiens
ENSG00000001629	ANKIB1	protein_coding	chr7	92246234	92401384	True	Homo sapiens
ENSG00000001630	CYP51A1	protein_coding	chr7	92112151	92142952	True	Homo sapiens
ENSG00000001631	KRIT1	protein_coding	chr7	92198969	92246166	True	Homo sapiens
ENSG00000002016	RAD52	protein_coding	chr12	912077	990053	True	Homo sapiens
ENSG00000002079	MYH16	transcribed_unitary_pseudogene	chr7	99238829	99311130	True	Homo sapiens
ENSG00000002330	BAD	protein_coding	chr11	64269830	64284704	True	Homo sapiens
ENSG00000002549	LAP3	protein_coding	chr4	17577192	17607972	True	Homo sapiens
ENSG00000002586	CD99	protein_coding	chrX	2691179	2741309	True	Homo sapiens
ENSG00000002586_PAR_Y	CD99	protein_coding	chrY	2691179	2741309	True	Homo sapiens
ENSG00000002587	HS3ST1	protein_coding	chr4	11393150	11429765	True	Homo sapiens
ENSG00000002726	AOC1	protein_coding	chr7	150824627	150861504	True	Homo sapiens
ENSG00000002745	WNT16	protein_coding	chr7	121325367	121341104	True	Homo sapiens
ENSG00000002746	HECW1	protein_coding	chr7	43112599	43566001	True	Homo sapiens
ENSG00000002822	MAD1L1	protein_coding	chr7	1815793	2233243	True	Homo sapiens
ENSG00000002834	LASP1	protein_coding	chr17	38869859	38921770	True	Homo sapiens
ENSG00000002919	SNX11	protein_coding	chr17	48103357	48123074	True	Homo sapiens
ENSG00000002933	TMEM176A	protein_coding	chr7	150800403	150805120	True	Homo sapiens
ENSG00000003056	M6PR	protein_coding	chr12	8940363	8949955	True	Homo sapiens
ENSG00000003096	KLHL13	protein_coding	chrX	117897813	118117340	True	Homo sapiens
ENSG00000003137	CYP26B1	protein_coding	chr2	72129238	72148038	True	Homo sapiens
ENSG00000003147	ICA1	protein_coding	chr7	8113184	8262687	True	Homo sapiens
ENSG00000003249	DBNDD1	protein_coding	chr16	90004865	90020128	True	Homo sapiens
ENSG00000003393	ALS2	protein_coding	chr2	201700554	201781189	True	Homo sapiens
ENSG00000003400	CASP10	protein_coding	chr2	201182881	201229406	True	Homo sapiens
ENSG00000003402	CFLAR	protein_coding	chr2	201116104	201176687	True	Homo sapiens
ENSG00000003436	TFPI	protein_coding	chr2	187464230	187565760	True	Homo sapiens
